symbol	entrezgene	cgc86	ncgc_haukeland	tcga_pancan_2018	predisp_syndrome_cui	predisp_cancer_cui	lof_known_moi	predisp_cancer_moi	p_oncogene	tsgene	predisp_source	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate
FLCN	201163	TRUE	TRUE	TRUE	CN221571	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	97	1	1	0.5	0.99
GPC3	2719	TRUE	TRUE	TRUE	C0796154	NA	LoF	XLR	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	8	2	10	0.83	0.8
HNF1A	6927	TRUE	TRUE	TRUE	C1840646	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	8	8	4	0.33	0.5
HRAS	3265	TRUE	TRUE	TRUE	C0587248	NA	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	2	11	5	0.31	0.15
KDR	3791	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	FALSE	CGC_86	NA	NA	NA	NA	NA
KIT	3815	TRUE	TRUE	TRUE	NA	C0238198	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	10	9	2	0.18	0.53
LMO1	4004	TRUE	FALSE	TRUE	NA	C4225207	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86	NA	NA	NA	NA	NA
LZTR1	8216	TRUE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86&NCGC	3	5	0	0	0.38
MAX	4149	TRUE	TRUE	TRUE	C1708353	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	8	0	0	0	1
MEN1	4221	TRUE	TRUE	TRUE	C0025267	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	116	12	0	0	0.91
MLH1	4292	TRUE	TRUE	TRUE	C1333990&C0009405&C0265325	NA	LoF	AD/AR	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	457	63	18	0.22	0.88
MPL	4352	TRUE	FALSE	TRUE	C4273671	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86	7	5	0	0	0.58
MSH2	4436	TRUE	TRUE	TRUE	C1333990&C0009405&C0265325	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	550	35	9	0.2	0.94
MSH6	2956	TRUE	TRUE	TRUE	C1333990&C0009405&C0265325	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	479	8	4	0.33	0.98
MUTYH	4595	TRUE	TRUE	TRUE	NA	C1837991	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	46	4	1	0.2	0.92
NBN	4683	TRUE	TRUE	TRUE	C0398791	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	86	0	2	1	1
NF1	4763	TRUE	TRUE	TRUE	C0027831	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	572	45	0	0	0.93
NF2	4771	TRUE	TRUE	TRUE	C0027832	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	27	5	0	0	0.84
NTHL1	4913	TRUE	TRUE	TRUE	NA	C4225157	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	1	0	0	0	1
PALB2	79728	TRUE	TRUE	TRUE	C1835817	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	265	0	0	0	1
PDGFRA	5156	TRUE	TRUE	TRUE	NA	C0238198	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	0	3	4	0.57	0
PHOX2B	8929	TRUE	TRUE	TRUE	NA	C2751682	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	2	1	0	0	0.67
PMS1	5378	TRUE	TRUE	TRUE	NA	CN029768	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	NA	NA	NA	NA	NA
PMS2	5395	TRUE	TRUE	TRUE	C1333990&C0009405&C0265325	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	145	5	12	0.71	0.97
POLD1	5424	TRUE	TRUE	TRUE	CN237711	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	0	0	4	1	0
POLE	5426	TRUE	TRUE	TRUE	CN237711	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	0	1	6	0.86	0
POLQ	10721	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86	NA	NA	NA	NA	NA
PRF1	5551	TRUE	TRUE	TRUE	NA	C1863727	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	7	10	2	0.17	0.41
PRKAR1A	5573	TRUE	TRUE	TRUE	C0406810	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	31	5	0	0	0.86
PTCH1	5727	TRUE	TRUE	TRUE	C0004779	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	117	2	5	0.71	0.98
PTEN	5728	TRUE	TRUE	TRUE	C1959582&CN072330	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	223	35	1	0.03	0.86
PTPN13	5783	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	TRUE	CGC_86	NA	NA	NA	NA	NA
RB1	5925	TRUE	TRUE	TRUE	NA	C0035335&C0029463	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	132	8	3	0.27	0.94
RECQL4	9401	TRUE	TRUE	TRUE	C0032339	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	53	1	20	0.95	0.98
RET	5979	TRUE	TRUE	TRUE	C0025268&C0025269&C1833921	NA	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	3	59	2	0.03	0.05
RFWD3	55159	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86	1	1	0	0	0.5
SBDS	51119	TRUE	TRUE	TRUE	C0272170	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	7	2	0	0	0.78
SDHA	6389	TRUE	TRUE	TRUE	C3279992	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	26	2	2	0.5	0.93
SDHAF2	54949	TRUE	TRUE	TRUE	C1708353	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	2	1	0	0	0.67
SDHB	6390	TRUE	TRUE	TRUE	C1708353&C1847319	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	64	13	0	0	0.83
SDHC	6391	TRUE	TRUE	TRUE	C1708353&C1847319	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	7	2	0	0	0.78
SDHD	6392	TRUE	TRUE	TRUE	C1708353&C1847319	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	33	11	0	0	0.75
SETBP1	26040	TRUE	FALSE	TRUE	C0265227	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86	9	5	4	0.44	0.64
SMAD4	4089	TRUE	TRUE	TRUE	C0345893	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	91	21	0	0	0.81
SMARCB1	6598	TRUE	TRUE	TRUE	C1836327	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	14	3	0	0	0.82
SMARCE1	6605	TRUE	TRUE	TRUE	NA	C1333989	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	6	1	0	0	0.86
SPOP	8405	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	TRUE	CGC_86	NA	NA	NA	NA	NA
STAT3	6774	TRUE	FALSE	TRUE	C2936739	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86	0	15	0	0	0
STK11	6794	TRUE	TRUE	TRUE	C0031269	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	83	5	0	0	0.94
SUFU	51684	TRUE	TRUE	TRUE	NA	C1333989&C0025149	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	11	2	0	0	0.85
TERT	7015	TRUE	TRUE	TRUE	C1851970	NA	LoF	AD/AR	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	12	22	2	0.08	0.35
TGFBR2	7048	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	TRUE	CGC_86	4	22	0	0	0.15
TMEM127	55654	TRUE	TRUE	TRUE	NA	C0031511	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	12	1	0	0	0.92
TP53	7157	TRUE	TRUE	TRUE	C1835398	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	113	35	0	0	0.76
TP63	8626	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	TRUE	CGC_86	4	25	0	0	0.14
TSC1	7248	TRUE	TRUE	TRUE	C1854465	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	104	2	10	0.83	0.98
TSC2	7249	TRUE	TRUE	TRUE	C1860707	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	188	24	18	0.43	0.89
TSHR	7253	TRUE	FALSE	TRUE	NA	C1836706	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86	1	22	0	0	0.04
VHL	7428	TRUE	TRUE	TRUE	C0019562	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	63	65	0	0	0.49
WAS	7454	TRUE	FALSE	TRUE	C1839163	NA	LoF	XLR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86	9	13	0	0	0.41
WRN	7486	TRUE	TRUE	TRUE	C0043119	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	43	2	4	0.67	0.96
WT1	7490	TRUE	TRUE	TRUE	CN033288	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	13	12	0	0	0.52
XPA	7507	TRUE	TRUE	TRUE	C0268135	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	8	0	0	0	1
XPC	7508	TRUE	TRUE	TRUE	C2752147	NA	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	21	1	2	0.67	0.95
ACD	65057	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	0	1	2	0.67	0
AIP	9049	FALSE	TRUE	FALSE	NA	NA	LoF	AD	FALSE	FALSE	NCGC	3	2	2	0.5	0.6
AKT1	207	FALSE	TRUE	FALSE	NA	NA	GoF	AD	TRUE	TRUE	NCGC	0	2	0	0	0
AXIN1	8312	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	TRUE	NCGC	NA	NA	NA	NA	NA
CASR	846	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	TRUE	NCGC	10	40	3	0.07	0.2
CDKN1C	1028	FALSE	TRUE	TRUE	C0004903	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	21	8	0	0	0.72
CEBPA	1050	FALSE	TRUE	TRUE	NA	C0023467	LoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&NCGC	8	0	2	1	1
CEP57	9702	FALSE	TRUE	FALSE	NA	NA	LoF	AR	FALSE	FALSE	NCGC	3	0	2	1	1
CTNNA1	1495	FALSE	TRUE	FALSE	NA	NA	LoF	AD	FALSE	FALSE	NCGC	0	3	0	0	0
CTNNB1	1499	FALSE	TRUE	FALSE	NA	NA	NA	NA	TRUE	FALSE	NCGC	22	1	0	0	0.96
CTRC	11330	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	1	1	1	0.5	0.5
DIRAS3	9077	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	TRUE	NCGC	NA	NA	NA	NA	NA
DIS3L2	129563	FALSE	TRUE	TRUE	C0796113	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	3	1	1	0.5	0.75
ENG	2022	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	67	11	0	0	0.86
EPCAM	4072	FALSE	TRUE	TRUE	C2750471	NA	LoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&NCGC	10	1	1	0.5	0.91
ERCC1	2067	FALSE	TRUE	TRUE	C1853100	NA	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	2	1	0	0	0.67
ETV6	2120	FALSE	TRUE	TRUE	C4015537	NA	NA	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	2	4	0	0	0.33
EZH2	2146	FALSE	TRUE	FALSE	NA	NA	LoF	AD	TRUE	TRUE	NCGC	1	8	1	0.11	0.11
ABRAXAS1	84142	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	1	0	0	0	1
FANCB	2187	FALSE	TRUE	FALSE	NA	NA	LoF	XLR	FALSE	FALSE	NCGC	0	0	5	1	0
FANCI	55215	FALSE	TRUE	TRUE	C1836861	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	6	1	6	0.86	0.86
FANCL	55120	FALSE	TRUE	TRUE	C3469528	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	6	0	0	0	1
FANCM	57697	FALSE	TRUE	TRUE	NA	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	1	0	4	1	1
GALNT12	79695	FALSE	TRUE	FALSE	NA	NA	LoF	AD	FALSE	FALSE	NCGC	0	0	3	1	0
GATA2	2624	FALSE	TRUE	TRUE	C3280030	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	9	6	0	0	0.6
GREM1	26585	FALSE	TRUE	FALSE	NA	NA	GoF	AD	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
HABP2	3026	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
HNF1B	6928	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	8	3	1	0.25	0.73
HOXB13	10481	FALSE	TRUE	FALSE	NA	NA	NA	AD	FALSE	TRUE	NCGC	NA	NA	NA	NA	NA
KIF1B	23095	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	0	1	2	0.67	0
MET	4233	FALSE	TRUE	TRUE	NA	C0007134	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&NCGC	0	6	2	0.25	0
MITF	4286	FALSE	TRUE	TRUE	NA	C1512419	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&NCGC	10	5	0	0	0.67
MLH3	27030	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	0	1	9	0.9	0
MRE11	4361	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	31	2	1	0.33	0.94
MSH3	4437	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	3	0	0	0	1
NSD1	64324	FALSE	TRUE	FALSE	NA	NA	LoF	AD	TRUE	FALSE	NCGC	167	26	6	0.19	0.87
OGG1	4968	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
PAX5	5079	FALSE	TRUE	TRUE	NA	C3809874	NA	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	NA	NA	NA	NA	NA
PINK1	65018	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	6	6	1	0.14	0.5
PIK3CA	5290	FALSE	TRUE	FALSE	NA	NA	GoF	AD	TRUE	FALSE	NCGC	1	11	1	0.08	0.08
POT1	25913	FALSE	TRUE	TRUE	NA	C4014476	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	0	0	1	1	0
PPM1D	8493	FALSE	TRUE	FALSE	NA	NA	LoF	Mosaic	TRUE	FALSE	NCGC	5	0	0	0	1
PRSS1	5644	FALSE	TRUE	TRUE	NA	C0238339	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	0	11	3	0.21	0
PTPN11	5781	FALSE	TRUE	TRUE	C0028326	NA	GoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	10	65	5	0.07	0.13
RAD50	10111	FALSE	TRUE	FALSE	NA	NA	LoF	AD/AR	FALSE	FALSE	NCGC	124	0	0	0	1
RAD51	5888	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	2	3	0	0	0.4
RAD51B	5890	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
RAD51C	5889	FALSE	TRUE	TRUE	C3150653	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	42	0	0	0	1
RAD51D	5892	FALSE	TRUE	TRUE	NA	C3280345	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	30	0	0	0	1
RCC2	55920	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
RHBDF2	79651	FALSE	TRUE	TRUE	C1835664	NA	GoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&NCGC	0	2	5	0.71	0
RINT1	60561	FALSE	TRUE	FALSE	NA	NA	NA	NA	TRUE	FALSE	NCGC	NA	NA	NA	NA	NA
RING1	6015	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
DTX3L	151636	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
RUNX1	861	FALSE	TRUE	TRUE	NA	C1832388	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	6	4	2	0.33	0.6
SCG5	6447	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
SLX4	84464	FALSE	TRUE	FALSE	NA	NA	LoF	AR	FALSE	FALSE	NCGC	6	0	4	1	1
SMARCA4	6597	FALSE	TRUE	TRUE	C2750074	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&NCGC	25	8	0	0	0.76
SPINK1	6690	FALSE	TRUE	FALSE	NA	NA	NA	NA	TRUE	FALSE	NCGC	3	6	0	0	0.33
SPRED1	161742	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	25	1	1	0.5	0.96
TERF2IP	54386	FALSE	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NCGC	NA	NA	NA	NA	NA
XRCC2	7516	FALSE	TRUE	FALSE	NA	NA	LoF	AD	FALSE	FALSE	NCGC	1	0	1	1	1
DROSHA	29102	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	0	0	1	1	0
ABCB11	8647	FALSE	FALSE	TRUE	C2931132	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	15	8	1	0.11	0.65
CBL	867	FALSE	FALSE	TRUE	C0028326	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018	3	8	0	0	0.27
COL7A1	1294	FALSE	FALSE	TRUE	C0014527	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018	16	30	1	0.03	0.35
DKC1	1736	FALSE	FALSE	TRUE	C1148551	NA	LoF	XLR	FALSE	FALSE	TCGA_PANCAN_2018	0	36	1	0.03	0
DOCK8	81704	FALSE	FALSE	TRUE	C1968689	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	5	1	3	0.75	0.83
